product_name,main_category_fr,additives_n,nutrition_grade_fr,energy_100g,fat_100g,saturated-fat_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,nutrition-score-fr_100g
2% Reduced Fat Milk,Laits,0.0,b,227.0,2.08,1.25,5.0,0.0,3.33,0.132,0.0
Cheesy Pizza,Plats préparés,0.0,b,1120.0,7.26,3.58,2.32,3.16,9.05,0.909,0.0
Ananas en morceaux au jus,Conserves,0.0,a,242.0,0.0,0.0,13.1,0.7,0.3,0.0,-3.0
Poires demi-fruits au sirop léger,Conserves,1.0,a,248.0,0.1,0.0,14.0,1.0,0.2,0.0,-3.0
Cocktail de fruits au sirop,Conserves,2.0,a,274.0,0.1,0.0,15.0,1.0,0.4,0.1,-3.0
Mandarines au sirop léger,Conserves,1.0,a,265.0,0.0,0.0,13.0,0.1,0.5,0.0,-3.0
Piña en su zumo &quot;Del Monte&quot;,Conserves,0.0,a,242.0,0.1,0.0,13.1,0.8,0.4,0.00254,-4.0
Cocktail de fruits,Fruits,2.0,a,269.0,0.1,0.0,15.0,1.0,0.4,0.1,-3.0
Whole Kernel Corn,Conserves,0.0,a,201.0,0.8,0.0,2.4,1.6,0.8,0.366,-6.0
Purée Tradition Bio,Epicerie,1.0,a,126.0,0.1,0.0,5.6,1.2,1.19,1.0,-1.0
Tomates jaunes entières pelées au jus,Conserves,1.0,a,88.0,0.5,0.0,0.0,0.9,1.2,0.1,-6.0
Pear Halves in Juice,Conserves,1.0,a,195.0,0.1,0.0,10.5,1.0,0.3,0.100076,-4.0
Tomatenstücke,Aliments et boissons à base de végétaux,1.0,a,80.0,0.1,0.0,3.0,0.8,1.1,0.13,-6.0
Fein gehackte Tomaten mit Basilikum,Tomates,1.0,a,88.0,0.1,0.0,3.4,0.8,1.2,0.1,-6.0
Tranches d'Ananas au jus d'Ananas,Conserves,0.0,a,242.0,0.0,0.0,13.1,0.7,0.3,0.0,-3.0
Lima Beans,Conserves,1.0,a,331.0,0.0,0.0,0.79,6.3,4.76,0.66548,-5.0
Tomates pelées au jus - BIO,Conserves,1.0,a,21.0,0.1,0.0,3.1,0.8,1.2,0.1,-6.0
Pulpe de tomates bio,Conserves,1.0,a,80.0,0.1,0.0,3.0,0.8,1.1,0.13,-6.0
Beef broth,Beef-broth,2.0,c,35.0,0.0,0.0,0.0,0.0,1.67,1.05,3.0
Fusilli no.34,Pâtes alimentaires,3.0,a,1490.0,1.79,0.0,1.79,3.57,12.5,0.0,-6.0
Acini di Pepe no. 78,Pâtes alimentaires,3.0,a,1490.0,1.79,0.0,1.79,3.57,12.5,0.0,-6.0
Cheez-It,Snacks salés,3.0,d,1890.0,14.3,3.57,0.0,2.38,14.3,2.12,14.0
"Coconut milk, vanilla",Boissons,2.0,b,157.0,2.08,2.08,3.75,0.0,0.0,0.0476,2.0
Very vanilla Soymilk,Soymilk,1.0,b,231.0,1.48,0.212,6.78,0.424,2.54,0.124,0.0
Vanilla Silk,Laits,2.0,a,184.0,1.4,0.2,3.2,0.8,2.8,0.0914,-2.0
Chocolate Silk,Laits,2.0,a,234.0,1.4,0.2,7.2,0.8,2.8,0.0864,-1.0
Barbecue flavored chicken breast,Volailles,2.0,a,448.0,2.68,0.893,1.79,0.0,17.9,0.191,-4.0
Turkey breast,Volailles,1.0,c,372.0,0.0,0.0,0.0,0.0,17.86,1.63322,3.0
Smart Ones Pepperoni Pizza Minis,Plats préparés,1.0,a,946.0,5.65,2.02,4.84,4.8,9.68,0.94234,-1.0
Pain Soft White Farmhouse,Pains,5.0,a,1080.0,4.0,1.3,3.4,3.5,9.2,0.75,-2.0
Cottage Cheese,Cottage-cheese,5.0,b,406.0,4.42,2.65,3.54,0.0,11.5,0.96774,2.0
"Diced tomatoes, basil, garlic & oregano",Conserves,2.0,a,121.0,0.0,0.0,2.48,1.65,0.826,0.567,-5.0
Crushed tomatoes,Conserves,1.0,a,155.0,0.0,0.0,3.31,2.48,1.65,0.483,-7.0
Snack Pack Tapioca Pudding ,Gâteaux,2.0,c,500.0,2.72,1.63,14.1,1.09,1.09,0.345,5.0
"Country Crock Calcium Plus Vitamin D, 39% Vegetable Oil Spread",Produits à tartiner,7.0,e,1490.0,35.7,10.7,0.0,0.0,0.0,1.72,21.0
Salsa con queso medium,Epicerie,5.0,c,491.0,7.35,2.94,2.94,2.94,2.94,2.09,8.0
Simply Natural Blue Corn Tortilla Chips,Chips et frites,0.0,b,2090.0,21.4,1.79,0.0,3.57,7.14,0.726,1.0
Tostitos Cantina Roasted Garlic Thick & Chunky Salsa,Salsa,0.0,b,42.0,0.0,0.0,1.0,1.0,1.0,0.5842,1.0
Wavy original,Chips et frites,0.0,d,2690.0,35.7,5.36,3.57,3.57,7.14,1.27,13.0
Spinach & Chive Linguine Pasta,Pâtes alimentaires,2.0,a,1520.0,0.909,0.0,0.0,3.64,12.7,0.139,-6.0
Macaroni Elbows No. 35,Pâtes alimentaires,0.0,a,1540.0,1.54,0.0,4.62,3.08,12.3,0.0,-4.0
Rich & Creamy Forbidden Chocolate,Glaces,3.0,d,952.0,12.1,7.58,19.7,0.0,4.55,0.154,13.0
Vanilla bean yogurt,Yaourts,4.0,c,556.0,5.33,3.33,14.67,0.0,4.67,0.13462,5.0
Vanilla Wafers,Cookies,4.0,c,586.0,5.0,1.5,9.0,1.0,1.0,0.3048,3.0
Pita Mediterranean Herb,Snacks salés,2.0,c,1830.0,15.6,0.0,6.25,6.25,6.25,2.06,10.0
Scottish Lochmuir Salmon fillet Joint,Saumons,0.0,a,835.0,12.9,3.7,0.1,1.0,20.4,0.1016,-1.0
Very Berry Clusters Cereal,Cereales,1.0,c,1750.0,9.09,0.909,21.8,5.45,9.09,0.647,6.0
Cranberry Raspberry,Boissons,1.0,e,205.0,0.0,0.0,12.0,0.0,0.0,0.0,15.0
Tasty Tartar Sauce,Tartar-sauce,2.0,c,883.0,22.54,1.41,0.0,0.0,0.0,0.5715,5.0
Organic Whole Spelt Tortillas,Whole-wheat-tortillas,5.0,b,1100.0,6.14,2.63,3.51,3.5,7.02,1.11506,1.0
6 Pork & Bramley Apple Sausages,Saucisses,3.0,d,1023.0,19.2,7.0,5.6,1.0,12.4,1.18,14.0
Special K original,Petit-déjeuners,2.0,d,1620.0,1.61,0.0,12.9,0.0,19.4,1.8,13.0
Pure squeezed Florida orange juice with juicy bits,Jus d'orange,0.0,c,179.0,0.1,0.1,9.2,0.1,0.5,0.03,3.0
Chili Beef Nachos,Plats à base de viande,0.0,d,1389.0,19.3,9.1,1.3,2.5,9.2,0.88,13.0
Chicken Arrabbiata,Plats à base de viande,1.0,a,554.0,5.2,1.1,3.7,1.9,7.9,0.48,-2.0
Jus de pommes et de mangues pressé non à base de concentré,Jus de fruits,1.0,d,205.0,0.1,0.1,11.1,0.4,0.2,0.254,6.0
Hot Dog Chili Sauce,Epicerie,2.0,b,262.0,0.0,0.0,0.0,0.0,6.25,1.27,2.0
Italian Tomato Purée double concentrate,Epicerie,0.0,a,364.0,0.4,0.1,14.4,2.0,4.7,0.508,-3.0
Potato Pancakes,Surgelés,0.0,b,781.0,8.0,0.667,5.33,2.67,5.33,1.29,2.0
Classic Alfredo Sauce,Epicerie,2.0,c,618.0,13.1,4.1,1.64,0.0,1.64,0.125,4.0
Chunky garden combination sauce ,Epicerie,2.0,b,293.0,1.95,0.0,7.81,1.6,1.56,0.91186,2.0
Alfredo Sauce with aged Parmesan Cheese,Epicerie,2.0,d,754.0,16.4,8.2,1.64,0.0,3.28,1.71,17.0
Tomato & Basil Sauce,Epicerie,3.0,c,268.0,1.6,0.0,9.6,0.8,2.4,0.691,3.0
"Olive oil, basil and garlic tomato sauce ",Huiles d'olive,0.0,c,268.0,2.8,0.0,5.6,1.6,1.6,1.04,3.0
FLAPJACK Mini Bites,Flapjack,2.0,d,1905.0,22.3,11.2,29.0,4.2,6.9,0.6858,18.0
Fruit on the bottom,Yaourts aux fruits,6.0,b,369.0,0.882,0.588,15.3,0.588,3.53,0.164,2.0
All Natural Plain Yogurt,Yaourts,0.0,b,279.0,3.56,2.22,4.89,0.0,3.56,0.13,1.0
Light & Fit Greek Crunch Coconut Chocolate Bliss,Yaourts,4.0,a,386.0,2.13,0.709,7.8,0.709,8.51,0.135,-4.0
Activia light blueberry,Yaourts,7.0,a,222.0,0.0,0.0,6.19,1.77,3.54,0.146,-3.0
Aperitivo de patatas &quot;Pringles&quot; Sabor crema y cebolla,Snacks salés,6.0,d,2172.322,33.0,9.6,2.6,2.7,4.0,1.50368,18.0
Natural Milk Chocolate,Chocolats,1.0,d,920.0,17.0,10.0,15.0,2.0,4.0,0.1016,12.0
Jimmy Chips - BBQ Flavored ,Chips et frites,3.0,d,2240.0,28.6,5.36,7.14,3.57,7.14,0.952,11.0
Peanut Butter Spread,Pâtes à tartiner,1.0,d,2213.0,35.29,5.88,11.76,5.9,20.59,1.27,13.0
